Name,Weight Class,Record
Asjabharan _,Bantamweight,0-0-0 (W-L-D)
Angga -,Featherweight,0-1-0 (W-L-D)
Nariman Abbassov,Lightweight,0-1-0 (W-L-D)
Hamdy Abdelwahab,Heavyweight,5-0-0 (W-L-D)
John Adajar,Welterweight,0-1-0 (W-L-D)
Anthony Adams,Middleweight,8-2-0 (W-L-D)
Israel Adesanya,Middleweight,23-2-0 (W-L-D)
Mariya Agapova,Women's Flyweight,10-4-0 (W-L-D)
Fabio Agu,Middleweight,0-0-0 (W-L-D)
Jesus Aguilar,Flyweight,8-2-0 (W-L-D)
Nick Aguirre,Featherweight,7-1-0 (W-L-D)
Ashiek Ajim,Bantamweight,0-1-0 (W-L-D)
Herdem Alacabek,Light Heavyweight,0-0-0 (W-L-D)
Alatengheili,Bantamweight,16-8-1 (W-L-D)
Amir Albazi,Flyweight,16-1-0 (W-L-D)
Irene Aldana,Women's Bantamweight,14-6-0 (W-L-D)
Jose Alday,Bantamweight,0-1-0 (W-L-D)
JJ Aldrich,Women's Flyweight,11-5-0 (W-L-D)
Irina Alekseeva,Women's Bantamweight,0-0-0 (W-L-D)
Lucas Alexander,Featherweight,7-3-0 (W-L-D)
Marcio Alexandre,Middleweight,13-3-0 (W-L-D)
Bill Algeo,Featherweight,16-7-0 (W-L-D)
Abdul Razak Alhassan,Middleweight,12-5-0 (W-L-D)
Nurullo Aliev,Lightweight,9-0-0 (W-L-D)
Ikram Aliskerov,Middleweight,1-0-0 (W-L-D)
Leon Aliu,Middleweight,0-1-0 (W-L-D)
Brendan Allen,Middleweight,21-5-0 (W-L-D)
Arnold Allen,Featherweight,19-1-0 (W-L-D)
Lucas Almeida,Featherweight,14-1-0 (W-L-D)
Estefani Almeida,Women's Flyweight,0-0-0 (W-L-D)
Jailton Almeida,Heavyweight,18-2-0 (W-L-D)
Victor Altamirano,Flyweight,2-1-0 (W-L-D)
Jaime Alvarez,Flyweight,7-1-0 (W-L-D)
Joel Álvarez,Lightweight,19-3-0 (W-L-D)
Warlley Alves,Welterweight,15-6-0 (W-L-D)
Rafael Alves,Lightweight,20-12-0 (W-L-D)
Rayanne Amanda,Women's Strawweight,0-1-0 (W-L-D)
Makwan Amirkhani,Featherweight,17-8-0 (W-L-D)
Jaqueline Amorim,Women's Strawweight,0-0-0 (W-L-D)
Eryk Anders,Middleweight,15-7-0 (W-L-D)
Tatsuya Ando,Bantamweight,0-0-0 (W-L-D)
Jessica Andrade,Women's Flyweight,24-10-0 (W-L-D)
Juan Andres Luna,Flyweight,0-1-0 (W-L-D)
Julius Anglickas,Light Heavyweight,0-0-0 (W-L-D)
Chad Anheliger,Bantamweight,12-6-0 (W-L-D)
Magomed Ankalaev,Light Heavyweight,18-1-1 (W-L-D)
Adam Antolin,Flyweight,13-3-0 (W-L-D)
Aoriqileng,Bantamweight,24-9-0 (W-L-D)
Josh Appelt,Heavyweight,15-7-0 (W-L-D)
Travis Aragon,Middleweight,0-0-0 (W-L-D)
Viviane Araújo,Women's Flyweight,11-4-0 (W-L-D)
Julio Arce,Bantamweight,18-6-0 (W-L-D)
Carrese Archer,Middleweight,0-0-0 (W-L-D)
Dan Argueta,Featherweight,9-1-0 (W-L-D)
