first_name,last_name,nickname,record,age,height,weight,weight_class,debut,arm_reach,leg_reach,born_town,academy,fighter_style,wins_by_ko,wins_by_first_round_ko,sig_striking_landed,sig_striking_throw,takedowns_attempted,takedowns_landed,takedowns_avg,sig_striking_landed_min,avg_knockdown_fight,striking_defence,knockdown_avg,sig_striking_recieved_min,sub_avg_per_fight,takedown_defence,avg_fight_time,sig_striking_landed_by_pos,wins_by_method,sig_striking_by_target
Asjabharan,_,,0-0-0 (W-L-D),,,,Bantamweight,"Mar. 07, 2023",,,,,,0,0,0,0,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Clinch', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '0%', 'value': '0'}, 'body': {'percentage': '0%', 'value': '0'}, 'legs': {'percentage': '0%', 'value': '0'}}"
Angga,-,,0-1-0 (W-L-D),34,,144.50,Featherweight,"Jun. 10, 2022",,,"Sukabumi, Indonesia",,,0,0,34,88,4,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '30'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '4'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '50%', 'value': '17'}, 'body': {'percentage': '18%', 'value': '6'}, 'legs': {'percentage': '32%', 'value': '11'}}"
Nariman,Abbassov,,0-1-0 (W-L-D),29,,156.00,Lightweight,"Mar. 07, 2023",,,Kazajistán,,,0,0,45,225,2,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(100%)', 'number': '45'}}, {'name': 'Clinch', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '58%', 'value': '26'}, 'body': {'percentage': '18%', 'value': '8'}, 'legs': {'percentage': '24%', 'value': '11'}}"
Hamdy,Abdelwahab,"""The Hammer""",5-0-0 (W-L-D),30,74.00,264.50,Heavyweight,"Jul. 30, 2022",72.00,41.00,Egipto,,Wrestler,5,4,58,110,4,3,75%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(52%)', 'number': '30'}}, {'name': 'Clinch', 'value': {'percentage': '(3%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(45%)', 'number': '26'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(100%)', 'number': '5'}}, {'name': 'DEC', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '88%', 'value': '51'}, 'body': {'percentage': '9%', 'value': '5'}, 'legs': {'percentage': '3%', 'value': '2'}}"
John,Adajar,,0-1-0 (W-L-D),31,,170.00,Welterweight,"Jun. 10, 2022",,,,,,0,0,18,34,0,0,0,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(94%)', 'number': '17'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '1'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '61%', 'value': '11'}, 'body': {'percentage': '28%', 'value': '5'}, 'legs': {'percentage': '11%', 'value': '2'}}"
Anthony,Adams,,8-2-0 (W-L-D),35,73.00,184.50,Middleweight,"Mar. 07, 2023",76.50,43.00,"Philadelphia, Estados Unidos",,,0,0,95,227,7,,0%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(88%)', 'number': '84'}}, {'name': 'Clinch', 'value': {'percentage': '(12%)', 'number': '11'}}, {'name': 'Suelo', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(0', 'number': '0'}}, {'name': 'SUB', 'value': {'percentage': '(0', 'number': '0'}}]}","{'head': {'percentage': '39%', 'value': '37'}, 'body': {'percentage': '31%', 'value': '29'}, 'legs': {'percentage': '31%', 'value': '29'}}"
Israel,Adesanya,"""The Last Stylebender""",23-2-0 (W-L-D),33,76.00,185.00,Middleweight,"Feb. 11, 2018",80.00,44.50,"Lagos, Nigeria",City Kickboxing,Freestyle,15,6,1013,2019,7,,14%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(91%)', 'number': '918'}}, {'name': 'Clinch', 'value': {'percentage': '(6%)', 'number': '60'}}, {'name': 'Suelo', 'value': {'percentage': '(3%)', 'number': '35'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(68%)', 'number': '15'}}, {'name': 'DEC', 'value': {'percentage': '(32%)', 'number': '7'}}, {'name': 'SUB', 'value': {'percentage': '(0%)', 'number': '0'}}]}","{'head': {'percentage': '50%', 'value': '511'}, 'body': {'percentage': '18%', 'value': '182'}, 'legs': {'percentage': '32%', 'value': '320'}}"
Mariya,Agapova,"""Demonslayer""",10-4-0 (W-L-D),25,66.00,125.50,Women's Flyweight,"Jun. 13, 2020",68.50,38.50,Kazajistán,American Top Team,Kickboxer,3,5,238,427,3,2,67%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(67%)', 'number': '160'}}, {'name': 'Clinch', 'value': {'percentage': '(16%)', 'number': '38'}}, {'name': 'Suelo', 'value': {'percentage': '(17%)', 'number': '40'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(30%)', 'number': '3'}}, {'name': 'DEC', 'value': {'percentage': '(20%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(50%)', 'number': '5'}}]}","{'head': {'percentage': '64%', 'value': '152'}, 'body': {'percentage': '28%', 'value': '67'}, 'legs': {'percentage': '8%', 'value': '19'}}"
Fabio,Agu,,0-0-0 (W-L-D),35,,,Middleweight,"Mar. 07, 2023",,,,,,0,0,0,0,0,0,0,,,,,,,,,{},{},{}
Jesus,Aguilar,,8-2-0 (W-L-D),26,64.00,125.00,Flyweight,"Feb. 04, 2023",62.50,36.00,"Ensenada, México",,Freestyle,6,2,26,54,8,,38%,,,,,,,,,"{'title': 'Golpes Sig. por Posición', 'content': [{'name': 'De pie', 'value': {'percentage': '(38%)', 'number': '10'}}, {'name': 'Clinch', 'value': {'percentage': '(8%)', 'number': '2'}}, {'name': 'Suelo', 'value': {'percentage': '(54%)', 'number': '14'}}]}","{'title': 'Win by Method', 'content': [{'name': 'KO/TKO', 'value': {'percentage': '(0%)', 'number': '0'}}, {'name': 'DEC', 'value': {'percentage': '(25%)', 'number': '2'}}, {'name': 'SUB', 'value': {'percentage': '(75%)', 'number': '6'}}]}","{'head': {'percentage': '73%', 'value': '19'}, 'body': {'percentage': '12%', 'value': '3'}, 'legs': {'percentage': '15%', 'value': '4'}}"
