Name,Weight Class,Record
Nurullo Aliev,Lightweight,8-0-0 (W-L-D)
Rafael Alves,Lightweight,20-11-0 (W-L-D)
Montana De La Rosa,Women's Flyweight,12-7-1 (W-L-D)
Carl Deaton,Lightweight,17-5-0 (W-L-D)
Gabriella Fernandes,Women's Flyweight,8-1-0 (W-L-D)
Erick Gonzalez,Lightweight,14-7-0 (W-L-D)
Jasmine Jasudavicius,Women's Flyweight,7-2-0 (W-L-D)
Charles Johnson,Flyweight,13-3-0 (W-L-D)
Yohan Lainesse,Welterweight,9-1-0 (W-L-D)
Jordan Leavitt,Lightweight,10-2-0 (W-L-D)
Mike Malott,Welterweight,8-1-1 (W-L-D)
Victor Martinez,Lightweight,13-4-0 (W-L-D)
Don'Tale Mayes,Heavyweight,9-4-0 (W-L-D)
Trevor Peek,Lightweight,7-0-0 (W-L-D)
Ailin Perez,Women's Bantamweight,7-2-0 (W-L-D)
Augusto Sakai,Heavyweight,15-5-1 (W-L-D)
Tatiana Suarez,Women's Flyweight,9-0-0 (W-L-D)
Jordan Wright,Light Heavyweight,12-4-0 (W-L-D)
Nurullo Aliev,Lightweight,9-0-0 (W-L-D)
Rafael Alves,Lightweight,20-12-0 (W-L-D)
Montana De La Rosa,Women's Flyweight,12-8-1 (W-L-D)
Carl Deaton,Lightweight,17-6-0 (W-L-D)
Gabriella Fernandes,Women's Flyweight,8-2-0 (W-L-D)
Erick Gonzalez,Lightweight,14-8-0 (W-L-D)
Jasmine Jasudavicius,Women's Flyweight,8-2-0 (W-L-D)
Charles Johnson,Flyweight,13-4-0 (W-L-D)
Yohan Lainesse,Welterweight,9-2-0 (W-L-D)
Jordan Leavitt,Lightweight,11-2-0 (W-L-D)
Mike Malott,Welterweight,9-1-1 (W-L-D)
Victor Martinez,Lightweight,13-5-0 (W-L-D)
Don'Tale Mayes,Heavyweight,9-5-0 (W-L-D)
Trevor Peek,Lightweight,8-0-0 (W-L-D)
Ailin Perez,Women's Featherweight,7-2-0 (W-L-D)
Augusto Sakai,Heavyweight,16-5-1 (W-L-D)
Tatiana Suarez,Women's Flyweight,10-0-0 (W-L-D)
Jordan Wright,Light Heavyweight,12-5-0 (W-L-D)
