Event,Date,Place
UFC Fight Night: Strickland vs. Imavov,"14 de Enero, 2023","UFC APEX, Las Vegas, NV"
UFC 283: Teixeira vs. Hill,"21 de Enero, 2023","Jeunesse Arena, Rio De Janeiro"
UFC Fight Night: Lewis vs. Spivac,"5 de Febrero, 2023","UFC APEX, Las Vegas, NV"
UFC 284: Makhachev vs. Volkanovski,"11 de Febrero, 2023","RAC Arena (AUS), Perth, WA"
UFC Fight Night: Andrade vs. Blanchfield,"18 de Febrero, 2023","UFC APEX, Las Vegas, NV"
UFC Fight Night: Krylov vs. Spann,"25 de Febrero, 2023","UFC APEX, Las Vegas, NV"
UFC 285: Jones vs. Gane,"4 de Marzo, 2023","T-Mobile Arena, Las Vegas, NV"
UFC Fight Night: Yan vs. Dvalishvili,"11 de Marzo, 2023","The Theater at Virgin Hotels, Las Vegas, NV"
UFC 286: Edwards vs. Usman 3,"18 de Marzo, 2023","O2 Arena (ENG), Londres"
UFC Fight Night: Vera vs. Sandhagen,"25 de Marzo, 2023","AT&T Center, San Antonio, TX"
UFC 287: Pereira vs. Adesanya 2,"9 de Abril, 2023","Miami-Dade Arena, Miami, FL"
UFC Fight Night: Holloway vs. Allen,"15 de Abril, 2023","T-Mobile Center, Kansas City, MO"
