first_name,last_name,nickname,weight_class,record,uri
Asjabharan,_,,Bantamweight,0-0-0 (W-L-D),/athlete/asjabharan
Angga,-,,Featherweight,0-1-0 (W-L-D),/athlete/angga
Nariman,Abbassov,,Lightweight,0-1-0 (W-L-D),/athlete/nariman-abbassov
Hamdy,Abdelwahab,"""The Hammer""",Heavyweight,5-0-0 (W-L-D),/athlete/hamdy-abdelwahab
John,Adajar,,Welterweight,0-1-0 (W-L-D),/athlete/john-adajar
Anthony,Adams,,Middleweight,8-2-0 (W-L-D),/athlete/anthony-adams
Israel,Adesanya,"""The Last Stylebender""",Middleweight,23-2-0 (W-L-D),/athlete/israel-adesanya
Mariya,Agapova,"""Demonslayer""",Women's Flyweight,10-4-0 (W-L-D),/athlete/mariya-agapova
Fabio,Agu,,Middleweight,0-0-0 (W-L-D),/athlete/fabio-agu
Jesus,Aguilar,,Flyweight,8-2-0 (W-L-D),/athlete/jesus-aguilar
Nick,Aguirre,"""Slick """,Featherweight,7-1-0 (W-L-D),/athlete/nick-aguirre
Ashiek,Ajim,,Bantamweight,0-1-0 (W-L-D),/athlete/ashiek-ajim
Herdem,Alacabek,,Light Heavyweight,0-0-0 (W-L-D),/athlete/herdem-alacabek
Alatengheili,,"""The Mongolian Knight""",Bantamweight,16-8-1 (W-L-D),/athlete/heili-alateng
Amir,Albazi,"""The Prince""",Flyweight,16-1-0 (W-L-D),/athlete/amir-albazi
Irene,Aldana,,Women's Bantamweight,14-6-0 (W-L-D),/athlete/irene-aldana
Jose,Alday,,Bantamweight,0-1-0 (W-L-D),/athlete/dzhonatan-martinez-0
JJ,Aldrich,,Women's Flyweight,11-5-0 (W-L-D),/athlete/jj-aldrich
Irina,Alekseeva,,Women's Bantamweight,0-0-0 (W-L-D),/athlete/irina-alekseeva
Lucas,Alexander,"""The Lion """,Featherweight,7-3-0 (W-L-D),/athlete/lucas-alexander
Marcio,Alexandre,"""Lyoto""",Middleweight,13-3-0 (W-L-D),/athlete/marcio-alexandre
Bill,Algeo,"""Senor Perfecto""",Featherweight,16-7-0 (W-L-D),/athlete/bill-algeo
Abdul,Razak,,Middleweight,12-5-0 (W-L-D),/athlete/abdul-razak-alhassan
Nurullo,Aliev,"""Tajik Eagle """,Lightweight,9-0-0 (W-L-D),/athlete/nurullo-aliev
Ikram,Aliskerov,,Middleweight,1-0-0 (W-L-D),/athlete/ikram-aliskerov
Leon,Aliu,,Middleweight,0-1-0 (W-L-D),/athlete/leon-aliu
Brendan,Allen,"""All In""",Middleweight,21-5-0 (W-L-D),/athlete/brendan-allen
Arnold,Allen,"""Almighty""",Featherweight,19-1-0 (W-L-D),/athlete/arnold-allen
Lucas,Almeida,,Featherweight,14-1-0 (W-L-D),/athlete/kori-makkenna-11
Estefani,Almeida,,Women's Flyweight,0-0-0 (W-L-D),/athlete/estefani-almeida
Jailton,Almeida,"""Malhadinho""",Heavyweight,18-2-0 (W-L-D),/athlete/kori-makkenna-10
Victor,Altamirano,"""El Magnifico""",Flyweight,2-1-0 (W-L-D),/athlete/kori-makkenna-4
Jaime,Alvarez,,Flyweight,7-1-0 (W-L-D),/athlete/jaime-alvarez
Joel,Álvarez,"""El Fenomeno""",Lightweight,19-3-0 (W-L-D),/athlete/joel-alvarez
Warlley,Alves,,Welterweight,15-6-0 (W-L-D),/athlete/warlley-alves
Rafael,Alves,"""The Turn""",Lightweight,20-12-0 (W-L-D),/athlete/rafael-alves
Rayanne,Amanda,,Women's Strawweight,0-1-0 (W-L-D),/athlete/rayanne-amanda
Makwan,Amirkhani,"""Mr. Finland""",Featherweight,17-8-0 (W-L-D),/athlete/makwan-amirkhani
Jaqueline,Amorim,,Women's Strawweight,0-0-0 (W-L-D),/athlete/jaqueline-amorim
Eryk,Anders,"""Ya Boi""",Middleweight,15-7-0 (W-L-D),/athlete/eryk-anders
Tatsuya,Ando,,Bantamweight,0-0-0 (W-L-D),/athlete/tatsuya-ando
Jessica,Andrade,"""Bate Estaca""",Women's Flyweight,24-10-0 (W-L-D),/athlete/jessica-andrade
Juan,Andres,,Flyweight,0-1-0 (W-L-D),/athlete/juan-andres-luna
Julius,Anglickas,,Light Heavyweight,0-0-0 (W-L-D),/athlete/julius-anglickas
Chad,Anheliger,"""The Monster""",Bantamweight,12-6-0 (W-L-D),/athlete/meyson-dzhons-0
Magomed,Ankalaev,,Light Heavyweight,18-1-1 (W-L-D),/athlete/magomed-ankalaev
Adam,Antolin,"""Captain Chaos""",Flyweight,13-3-0 (W-L-D),/athlete/adam-antolin
Aoriqileng,,"""The Mongolian Murderer""",Bantamweight,24-9-0 (W-L-D),/athlete/aoriqileng
Josh,Appelt,,Heavyweight,15-7-0 (W-L-D),/athlete/josh-appelt
Travis,Aragon,"""Tenacious""",Middleweight,0-0-0 (W-L-D),/athlete/travis-aragon
Viviane,Araújo,"""Vivi""",Women's Flyweight,11-5-0 (W-L-D),/athlete/viviane-araujo
Julio,Arce,,Bantamweight,18-6-0 (W-L-D),/athlete/julio-arce
Carrese,Archer,"""One Punch""",Middleweight,0-0-0 (W-L-D),/athlete/carrese-archer
Dan,Argueta,"""The Determined""",Featherweight,9-1-0 (W-L-D),/athlete/daniel-argueta
Hashem,Arkhagha,,Middleweight,0-1-0 (W-L-D),/athlete/manon-firot-1
Andrei,Arlovski,"""The Pit Bull""",Heavyweight,34-21-0 (W-L-D),/athlete/andrei-arlovski
Garrett,Armfield,,Bantamweight,8-3-0 (W-L-D),/athlete/garrett-armfield
Alex,Asbury,"""Anax Religion""",Welterweight,0-0-0 (W-L-D),/athlete/alex-asbury
Teddy,Ash,,Middleweight,0-0-0 (W-L-D),/athlete/teddy-ash
Arman,Ashimov,,Flyweight,0-0-0 (W-L-D),/athlete/arman-ashimov
Yanal,Ashmoz,,Lightweight,0-0-0 (W-L-D),/athlete/yanal-ashmoz
Khusein,Askhabov,"""Nohcho""",Featherweight,23-1-0 (W-L-D),/athlete/khusein-askhabov
Ibo,Aslan,,Light Heavyweight,0-0-0 (W-L-D),/athlete/ibo-aslan
Tom,Aspinall,,Heavyweight,12-3-0 (W-L-D),/athlete/tom-aspinall
Bruno,Assis,,Middleweight,0-0-0 (W-L-D),/athlete/bruno-assis
Raphael,Assunção,,Bantamweight,28-9-0 (W-L-D),/athlete/raphael-assuncao
Jose,Augusto,,Light Heavyweight,0-0-0 (W-L-D),/athlete/jose-augusto
Julia,Avila,"""Raging Panda""",Women's Bantamweight,9-2-0 (W-L-D),/athlete/julia-avila
Ottman,Azaitar,"""Bulldozer""",Lightweight,13-1-0 (W-L-D),/athlete/ottman-azaitar
Abu,Azaitar,"""Captain Morocco""",Middleweight,14-3-1 (W-L-D),/athlete/abu-azaitar
Miguel,Baeza,"""Caramel Thunder""",Welterweight,10-3-0 (W-L-D),/athlete/miguel-baeza
Melsik,Baghdasaryan,"""The Gun""",Featherweight,7-2-0 (W-L-D),/athlete/melsik-baghdasaryan
Ignacio,Bahamondes,"""La Jaula""",Lightweight,13-4-0 (W-L-D),/athlete/ignacio-bahamondes
Maycee,Barber,"""The Future""",Women's Flyweight,11-2-0 (W-L-D),/athlete/maycee-barber
Bryan,Barberena,"""Bam Bam""",Welterweight,18-9-0 (W-L-D),/athlete/bryan-barberena
Edson,Barboza,"""Junior""",Featherweight,22-11-0 (W-L-D),/athlete/edson-barboza
Raoni,Barcelos,,Bantamweight,17-4-0 (W-L-D),/athlete/raoni-barcelos
Daniel,Barez,,Flyweight,0-1-0 (W-L-D),/athlete/lyudovit-klayn-1
Shonte,Barnes,"""Shyne""",Middleweight,0-1-0 (W-L-D),/athlete/lyudovit-klayn-5
James,Barnes,"""Mooka""",Bantamweight,0-1-0 (W-L-D),/athlete/james-barnes
Chris,Barnett,"""Beastboy""",Heavyweight,23-8-0 (W-L-D),/athlete/chris-barnett
Marc-Andre,Barriault,"""Powerbar""",Middleweight,15-6-0 (W-L-D),/athlete/marc-andre-barriault
Javid,Basharat,"""The Snow Leopard""",Bantamweight,14-0-0 (W-L-D),/athlete/trevin-dzhayls-4
Farid,Basharat,"""Ferocious""",Bantamweight,10-0-0 (W-L-D),/athlete/farid-basharat
Ron,Bata,"""Wolverine""",Heavyweight,0-0-0 (W-L-D),/athlete/ron-bata
Bryan,Battle,"""Pooh Bear""",Welterweight,9-2-0 (W-L-D),/athlete/shavkat-rakhmonov-0
Mario,Bautista,,Bantamweight,11-2-0 (W-L-D),/athlete/mario-bautista
Donavan,Beard,,Middleweight,0-1-0 (W-L-D),/athlete/donavan-beard
Rolando,Bedoya,,Welterweight,0-0-0 (W-L-D),/athlete/rolando-bedoya
Allan,Begosso,"""Mini""",Bantamweight,0-1-0 (W-L-D),/athlete/allan-begosso
Diana,Belbita,"""The Warrior Princess""",Women's Strawweight,14-7-0 (W-L-D),/athlete/diana-belbita
Rodolfo,Bellato,,Light Heavyweight,0-1-0 (W-L-D),/athlete/rodolfo-bellato
Gabriel,Benitez,"""Moggly""",Lightweight,23-11-0 (W-L-D),/athlete/gabriel-benitez
Kenneth,Bergh,,Light Heavyweight,6-0-0 (W-L-D),/athlete/kenneth-bergh
Anton,Berzin,"""The Body Snatcher""",Light Heavyweight,5-2-0 (W-L-D),/athlete/anton-berzin
Khadzhimurat,Bestaev,,Middleweight,0-1-0 (W-L-D),/athlete/khadzhimurat-bestaev
Blake,Bilder,"""El Animal""",Featherweight,8-0-1 (W-L-D),/athlete/blake-bilder
Jonas,Bilharinho,,Featherweight,1-0-0 (W-L-D),/athlete/glover-teysheyra
Xie,Bin,,Featherweight,0-2-0 (W-L-D),/athlete/guram-kutateladze-2
Chris,Birchler,,Light Heavyweight,7-4-0 (W-L-D),/athlete/shon-bredi-0
Caio,Bittencourt,,Middleweight,0-1-0 (W-L-D),/athlete/kori-makkenna-9
Simon,Biyong,,Light Heavyweight,0-0-0 (W-L-D),/athlete/simon-biyong
Jan,Błachowicz,,Light Heavyweight,29-9-1 (W-L-D),/athlete/jan-blachowicz
Sherrard,Blackledge,,Lightweight,1-1-0 (W-L-D),/athlete/sherrard-blackledge
Da'Mon,Blackshear,,Bantamweight,12-5-1 (W-L-D),/athlete/damon-blackshear
Erin,Blanchfield,"""Cold Blooded""",Women's Flyweight,11-1-0 (W-L-D),/athlete/erin-blanchfield
Curtis,Blaydes,"""Razor""",Heavyweight,17-3-0 (W-L-D),/athlete/curtis-blaydes
Tereza,Bleda,,Women's Flyweight,6-1-0 (W-L-D),/athlete/tereza-bleda
Dashawn,Boatwright,"""Buck, the 400-pound Silverback""",Light Heavyweight,3-2-0 (W-L-D),/athlete/dashawn-boatwright
Mandy,Böhm,"""Monster""",Women's Flyweight,7-2-0 (W-L-D),/athlete/viktoriya-leonardo-0
Gaston,Bolanos,,Bantamweight,0-0-0 (W-L-D),/athlete/gaston-bolanos
Denys,Bondar,"""Psycho""",Flyweight,16-4-0 (W-L-D),/athlete/denys-bondar
